layer,image_similarity,layer_text_similarity,all_text_similarity
up_blocks_1_attentions_0,0.81005859375,0.12310791015625,0.1065673828125
down_blocks_2_attentions_0,0.7265625,0.1268310546875,0.1065673828125
up_blocks_0_attentions_0,0.88037109375,0.10003662109375,0.1065673828125
up_blocks_0_attentions_1,0.92236328125,0.11260986328125,0.1065673828125
up_blocks_1_attentions_2,0.8544921875,0.11663818359375,0.1065673828125
mid_block_attentions_0,0.82080078125,0.1282958984375,0.1065673828125
down_blocks_1_attentions_1,0.8115234375,0.1334228515625,0.1065673828125
down_blocks_1_attentions_0,0.8515625,0.1046142578125,0.1065673828125
up_blocks_1_attentions_1,0.8291015625,0.1239013671875,0.1065673828125
down_blocks_2_attentions_1,0.82470703125,0.10272216796875,0.1065673828125
layer_comparison,0.857421875,0.10443115234375,0.1065673828125
up_blocks_0_attentions_2,0.83251953125,0.11846923828125,0.1065673828125
